Subject;Course Code;Course Name;Course Description;Summary;Course Number;Total Courses;Course Rank;category;Monday;Tuesday;Wednesday;Thursday;Friday;Time;TimeOfDay
Africana Studies;AFRI 2303;Black Feminism and the Politics of Care and Pleasure;"This graduate course, primarily U.S.-focused, examines Black feminist thought globally and focuses on the theoretical contributions of Black and African Diasporan feminists who contribute Black feminist thought through the lens of care and pleasure in and out of a variety of disciplinary fields from the late-19th and early 20th century onward. These contributions highlight the history and development of Black feminist thought as a methodology in the humanities and social sciences and include but is not limited to work expressed as “multiracial feminism,” “critical race feminism,” “transnational Black feminism,” “womanism,” and “pleasure politics.” The course will address these theories and the concerns of Black feminists (intersectionality, reproductive health; sexual violence; homophobia, transphobia, and heteronormativity; the subordination of Black women; and the effects of racism and colonialism on Black communities) through the critical examination of a wide range of texts.";;2303;13;11;3;0;0;1;0;0;3pm;Afternoon
Africana Studies;AFRI 2970;Preliminary Examination Preparation;For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination.;;2970;13;12;3;0;1;0;1;0;9:30am;Morning
Africana Studies;AFRI 2990;Thesis Preparation;For graduate students who have met the residency requirement and are continuing research on a full time basis.;;2990;13;13;3;0;1;0;1;0;9am;Morning
American Studies;AMST 0150K;Culture, Communities, and Change;"Studying varied organizations such as museums, community arts groups, rock bands, and dance companies, this seminar works on three levels. Students consider the role of cultural production in local, national, and international economies and lives; think about methods for studying creative communities; and write the ""biographies"" of Providence cultural organizations. Issues of tourism, representation, hierarchy, urban space, and social change as well as questions about who puts culture to work and the role of cultural workers will be addressed. We will consider public humanities, engaged scholarship and community organizing as methods as we explore the Providence cultural scene. Enrollment limited to 17 first year students.";;150;15;1;1;3;3;3;3;3;3;3
American Studies;AMST 1200D;Popular Ideas: United States Political Culture from Above and Below;This course will explore public debates shaped by interactions between the everyday worlds of popular culture and the formal spheres of intellectual debate and ideas. Organized around case studies from several periods of U.S. history, the course will examine how key themes in American culture and politics—democracy and capitalism, equality and exclusion, freedom and domination, war and peace, modernity and tradition, empire and internationalism—have been shaped by ideas originating from popular entertainments and movements, the treatises of philosophers, essayists, or reformers, and producers and audiences that blur the lines between the two. Overall, students should gain a working understanding of the evolution of both popular culture and intellectual thought and how they combined to reveal and shape the development of American democracy and the conflicts that have driven U.S. history. Sessions will combine short lectures, discussions, and primary source workshops.;;1200;15;2;1;0;1;0;1;0;2:30pm;Afternoon
American Studies;AMST 1510;Museum Collecting and Collections;This course will explore and examine the methods, practices, and theory of collections management in a museum setting including collections development, museum registration methods, cataloging, collections care, and interpretation. Through readings, discussion, workshops, site visits, and exhibitions, students will explore what it means to be physically and intellectually responsible for museum objects. This course places heavy emphasis on experiential learning and will include several project-based assignments.;;1510;15;3;1;0;1;0;1;0;10:30am;Morning
American Studies;AMST 1600C;The Anti-Trafficking Savior Complex: Saints, Sinners, and Modern-Day Slavery;"How can we understand the global movement to combat human trafficking within critical frameworks on ""industrial complexes""? Drawing from scholarship on the prison industrial, non-profit industrial, and white savior complexes this course examines human trafficking through the lens of race, class, gender, and national forms of power and subjectivity. Readings will problematize the so-called saints and sinners of the movement, investigating various global helping projects that exist to stop ""modern day slavery.""";;1600;15;4;1;3;3;3;3;3;3;3
American Studies;AMST 1611S;US Popular Culture;This course focuses on the relationship between popular culture, media, and society and provides an overview of social structures, content, audiences, and effects. The core mission of this class is to connect popular culture to the larger world in which it is produced and consumed. We examine the institutional and social contexts of cultural production and consumption in the United States. We will cover a variety of cultural forms (e.g. music, film, tv, and social media) and explore culture as an arena of conflict and a vehicle for social change. Other areas of focus include the meaning of aesthetics and style in daily life, cultural gatekeeping, and the role of social media platforms in shaping the production, distribution, and consumption of cultural texts/commodities.;;1611;15;5;1;1;0;1;0;1;11am;Morning
American Studies;AMST 1700X;Global Macho: Race, Gender, and Action Movies;Carefully sifting through an oft-overlooked but globally popular genre - the muscle-bound action film - this class asks: what sort of racial work does an action movie do? What is the role of women in this genre? How should we scrutinize these supposedly empty trifles of the global popular? How should we think critically about movies that feature - often without apology - a deep, dangerous obsession with masculinity, patriarchy, war, and lawlessness, with violence outside of civil society. In short, from Hollywood to Hong Kong to Rio to Paris to Mexico City, what makes the action movie genre tick?;;1700;15;6;2;1;0;1;0;1;10am;Morning
American Studies;AMST 1904B;Henry James Goes to the Movies;This course will focus on some of the novels and stories by James that have been made more than once into films or tv shows - Washington Square, The Turn of the Screw, The Portrait of a Lady, and The Golden Bowl - and study the narrative and visual choices as interpretations of James's texts. Critical readings on the art of fiction and the art of film will also be included. Enrollment limited to 20.;;1904;15;7;2;0;0;1;0;0;3pm;Afternoon
American Studies;AMST 1906V;Virtual Bodies: Play, Power, Performance;This seminar investigates digital media practices at the intersection of virtual and embodied experience, from video games and virtual communities to viral dance videos and motion-sensing surveillance systems. How do digitally mediated play, performance, and participatory culture incorporate and/or undermine technologies of power and control? How have new interfaces and media platforms invoked and reshaped ideas about liveness, creativity, authenticity, community, and privacy? What happens when embodied techniques and repertoires are taught and learned using digital media? Readings draw on media ethnography, performance studies, interface studies, and theories of intersectional embodied identity. Class members will undertake a series of practice exercises in which they learn new skills from online sources and collectively reflect on this process. Registration permission granted based on questionnaire distributed at first class meeting.;;1906;15;8;2;0;0;0;0;1;3pm;Afternoon
American Studies;AMST 1906X;Black Queer Life;This course explores how Black writers and artists represent and theorize a diverse array of Black genders and sexualities. We will begin with a series of conversations on the origins of Black queer theory, and then use these conversations to anchor us in our readings of Black queer life in literary and popular culture. Reading across a range of genres, including film, music, poetry, comics, and short fiction, we will collectively consider the ways sex, gender, and sexuality work with other markers of difference and social status such as race, class, ability, and nationality to demarcate possibilities, freedoms, choices, and opportunities available to Black people. We will learn from theorists, writers, and artists including Audre Lorde, Cathy Cohen, E. Patrick Johnson, Nicole Dennis Benn, Alexis Pauline Gumbs, Danez Smith, Janelle Monae, Samuel Delany, among many others.;;1906;15;9;2;0;1;0;1;0;1pm;Afternoon
American Studies;AMST 2010;Introduction to Interdisciplinary Methods;Introduction to interdisciplinary studies required of all first-year graduate students in American Studies. Graduate students from other departments may enroll with permission of the instructor.;;2010;15;10;2;3;3;3;3;3;3;3
American Studies;AMST 2220X;Asian American Racial Formations;"This seminar provides a critical engagement with of the histories of people of Asian descent in the United States from the nineteenth century to the present. Using a thematic and chronological approach we will pursue questions that aim to deepen our understanding of connections between past and present. We will focus on the experiences of people with ancestries in China, Korea, the Philippines, Southeast Asia, Japan South Asia and the Pacific Islands exploring commonalities and differences along axes of nationality, class, gender, ethnicity, culture, and state power. Topics to be addressed include: colonialism and labor migration; anti-Asian violence and exclusion; community formation and interracial solidarity; “Yellow Peril” and Model Minority” ideologies; political activism; and the construction of the category of “Asian American.”";;2220;15;11;3;0;1;0;1;0;4pm;Afternoon
American Studies;AMST 2220Y;Aesthetics of Relation: Minoritarian Gestures in the Visual Realm;Focusing on recent scholarship, this course explores the use of aesthetics among minoritarian subjects to elaborate a politics of relation. Exploring origins in women of color, black radical, and queer of color scholarly traditions, alongside methodologies from cultural studies and visual culture studies, we will read diagnoses of and responses to power as well as imaginings of alternate social formations. In addition to recent scholarship, we will also consider recent exhibitions and artist talks.;;2220;14;12;3;0;0;1;0;0;1pm;Afternoon
American Studies;AMST 2520;American Studies: Professional Issues in American Studies;This course explores the mechanics of a doctorate degree in American Studies. We will explore the constitution of our field through the elaboration of field exam lists and narratives, query its pedagogical application in the design of undergraduate syllabi, and begin to outline and enact our participation in the profession both within and beyond the academy. At the end of this class, students will have constructed a portfolio that will assist their progress towards a degree and provide the tools with which to chart pathways once a degree is in hand. S/NC;;2520;14;13;3;0;1;0;0;0;9am;Morning
American Studies;AMST 2990;Thesis Preparation;For graduate students who have met the residency requirement and are continuing research on a full time basis.;;2990;14;14;3;0;1;0;1;0;9am;Morning
Anthropology;ANTH 0100;Introduction to Cultural Anthropology;This course provides an introduction to cultural anthropology, surveying its defining questions, methods, and findings. We will examine the history and utility of anthropology's hallmark method, ethnography, the long-term immersion of the researcher in the culture under study. We will compare cultural anthropology's findings and comportment in other cultures to its conclusions and conduct in our own. No prerequisites.;"""Introduction to Cultural Anthropology"" (ANTH0100) is a course taught by Professor Andrea Flores that aims to present students with the various methods of anthropology as well as a survey of its theories and history. There are no official prerequisites, and many respondents noted that it was their very first class in the department or even their first humanities course at Brown.

Professor Flores received positive reviews from students. The format of the course, which consisted of PowerPoint lectures, was deemed an effective way to present the material. Students were also required to attend a weekly discussion section, which was found to be helpful in understanding the assigned readings. Although some noted that the content of the lectures themselves could be dull, class participants thought that the instructor's style was clear, informative, and engaging. Additionally, respondents found her to be extremely approachable and available outside of class, with multiple students commenting that she was quite helpful in her office hours. She also emphasized using hands-on activities to help teach the class. Additionally, the TA for the course received very favorable reviews and was described as a valuable resource when completing the written work.

Assignments required for ANTH0100 included three short response papers, two three-page anthropological method papers (the lowest grade of which was dropped), and two final papers that were five pages each. Students were also required to complete readings for each week, which some students found could be rather dense and lengthy at times. However, although the class sometimes had to read an entire book in a single week, respondents thought the readings were generally interesting and necessary for understanding the course material. Furthermore, some students felt that the written assignments were rather difficult to approach and were graded more harshly than anticipated; others noted that one had to synthesize the readings in an academic way for the response papers.

Overall, course participants were satisfied with their experience in Professor Flores's course, which served as an accessible introduction to the study of cultural anthropology. While some expressed a desire for a more diverse lecture format and less extensive reading requirements, all recommended the class to future students. Additionally, they also recommended that shoppers look into other similar courses that provide a comparable exposure to anthropology as an academic discipline.";100;21;1;1;1;0;1;0;0;11am;Morning
Anthropology;ANTH 0800;Sound and Symbols: Introduction to Linguistic Anthropology;This introduction to the study of language and culture considers how language not only reflects social reality but also creates it. We'll examine specific cases of broad current relevance, in the process learning how an analytical anthropological approach to language use lays bare its often hidden power. We'll consider how language creates and reinforces social inequality and difference, how language promotes and resists globalization, and how language is used creatively in performance, literature, film, advertising, and mass media. We will also consider how language does important social work in specific contexts, such as classrooms, courtrooms, medical settings, and political campaigns.;;800;21;2;1;3;3;3;3;3;3;3
Anthropology;ANTH 1030;Pre-Columbian Art and Architecture: A World That Matters;Survey of ancient art and building in ancient America, with a focus on Mexico, Central America, and the Andes. Underlying concepts include: meaning and method, cosmos and kingship, narrative and symbol, personality and authorship, empire and royal court.;;1030;21;3;1;0;1;0;1;0;2:30pm;Afternoon
Anthropology;ANTH 1125;Indigenous Archaeologies;"This course is an introduction to Indigenous archaeologies, sometimes defined as archaeology ""by, for and with Indigenous peoples."" These approaches typically combine the study of the past with contemporary tribal needs. In addition, they seek to contribute to a more accurate understanding of archaeological record by broadening science through a consideration of Indigenous epistemologies. This course covers topics as the history of anthropological archaeology, Indigenous knowledge and science, decolonizing methodologies, representational practices, and NAGPRA.";;1125;21;4;1;0;0;0;0;1;3pm;Afternoon
Anthropology;ANTH 1150;Middle East in Anthropological Perspective;A seminar focusing on anthropological methods of analyzing and interpreting Middle Eastern cultures and societies. Emphasizes the study of kinship, tribal structure, social organization and gender relations, ethnic groups relations, and urban-rural distinctions. Draws upon insights from these topics as a basis for understanding contemporary social, economic, and political dynamics in the region.;;1150;21;5;1;0;1;0;0;0;4pm;Afternoon
Anthropology;ANTH 1300;Anthropology of Addictions and Recovery;The purpose of this course is to consider the uses and misuses alcohol, tobacco and drugs, and approaches to recovery from addictions. We will read some of the major cross cultural, ethnographic, linguistic, and social-political works on addictions. Students will conduct their own anthropological interviews regarding substance misuse and recovery as well as observe a local 12 step recovery meeting in the community. Students will engage in discussions of recovery with community partners. Enrollment limited to 20.;;1300;21;6;1;0;0;1;0;0;3pm;Afternoon
Anthropology;ANTH 1622;Archaeology of Settler Colonialism;The course uses settler colonialism as a framework for understanding how European colonists attempted to displace and eliminate Indigenous peoples beginning in the 15th century and its historical implications for structural inequalities of race and gender. We will look at how settler colonialism is different from colonialism, and more importantly, at resistances challenging its ambitions. Case studies from North America mostly, but also Australia, South Africa, and other settler colonial societies will focus on historical archaeology’s contributions to illuminating settler colonialist strategies for establishing and maintaining settler sovereignty in light of concerns for decolonizing archaeological practices. We will give special attention to the insights gained about the experiences of dispossessed, enslaved, and marginalized peoples and their descendants, and the many ways their actions critiqued settler colonialism and imagined different futures.;;1622;21;7;1;0;1;0;1;0;10:30am;Morning
Anthropology;ANTH 1671;Juveniles for Justice: Youth Civic Engagement and Activism (EDUC 1670).;Interested students must register for EDUC1670.;;1671;21;8;2;3;3;3;3;3;3;3
Anthropology;ANTH 1720;The Human Skeleton;More than simply a tissue within our bodies, the human skeleton is a gateway into narratives of the past--from the evolution of our species to the biography of individual past lives. Through lecture and hands-on laboratory, students will learn the complete anatomy of the human skeleton, with an emphasis on the human skeleton in functional and evolutionary perspective. We'll also explore forensic and bioarchaeological approaches to the skeleton. By the course conclusion, students will be able to conduct basic skeletal analysis and will be prepared for more advanced studies of the skeleton from medical, forensic, archaeological, and evolutionary perspectives.;;1720;21;9;2;1;0;1;0;1;10am;Morning
Anthropology;ANTH 1760;Disability and Culture in the Past and Present;"Like gender and race, disability is a cultural and social formation that identifies particular bodies and minds as different, regularly as undesirable, and rarely as extraordinary. This course introduces the theoretical, cultural, and political models of disability and explores the lived experiences of persons with disabilities across time and within different social contexts. Through a discussion of scholarly readings, literature, film, photography, art, and archaeology, this seminar considers disability in relation to: identity; impairment; stigma; monstrosity; marginalization; discrimination; beauty; power; media representations; activism; intersectionality; and gender and sexuality.";;1760;21;10;2;3;3;3;3;3;3;3
Anthropology;ANTH 1930;Anthropology Thesis Workshop;This course is a year long two-semester workshop (offered in the fall and spring semesters) for students who are researching and writing an honors or senior thesis in Anthropology or a closely related field. Supplementing advisor support, the course will introduce students to best practices, shoring up essential skills in research design, methods, data interpretation, and written and oral presentation. Students will also participate in peer review, offering and responding to substantive and supportive feedback on their work in progress. The workshop, which meets every other week, is structured so that students can make substantial progress, following a recommended schedule to ensure the successful and timely completion of the thesis in the spring.;;1930;21;11;2;1;0;0;0;0;1:30pm;Afternoon
Anthropology;ANTH 1976E;Experimental Ethnography for the Masses (HMAN 1976E).;Interested students must register for HMAN 1976E.;;1976;21;12;2;3;3;3;3;3;3;3
Anthropology;ANTH 1990;Senior Seminar: (Re)Making Anthropology;This Senior Seminar capstone course is a critical look at the past, present, future of anthropology. The class proceeds from the premise that we must know the history of our field in order to build a stronger discipline. It examines the contributions and missteps of past anthropologists. Among the key questions to address: What are the discipline’s aims and contributions in the 21st century? Has the field successfully integrated diverse voices and perspectives? Are their central theories and methods that have (and continue to) define the field? What does it mean to be an anthropologist?;;1990;21;13;2;0;1;0;1;0;10:30am;Morning
Anthropology;ANTH 2010;Principles of Cultural Anthropology;A seminar exploring fundamental theoretical and ethnographic currents in 20th- and 21st-century cultural anthropology.;;2010;21;14;2;0;1;0;1;0;4pm;Afternoon
Anthropology;ANTH 2060;Anthropology Dissertators' Seminar;This seminar is for post-field graduate students in residence at Brown who are at any stage of writing their dissertations. It is intended to support dissertators by providing a structured community, providing a setting for sharing goals, and workshopping writing.;;2060;21;15;3;1;0;0;0;0;3pm;Afternoon
Anthropology;ANTH 2230;Medical Anthropology;This graduate seminar provides a theoretical, methodological, and ethnographic foundation in medical anthropology. The focus will be on sociocultural approaches to the study of the suffering, illness and the body, though the course will also engage with key issues in biocultural approaches to understanding disease processes. Topics will include: social suffering, religion and medicine, local biologies, gender and the body, biotechnology, bioethics, caregiving and doctoring, and the global burden of disease.;;2230;21;16;3;0;0;1;0;0;3pm;Afternoon
Anthropology;ANTH 2401S;Experimental Ethnography for the Masses (HMAN 2401S).;Interested students must register for HMAN 2401S.;;2401;21;17;3;3;3;3;3;3;3;3
Anthropology;ANTH 2501;Principles of Archaeology;Examines theoretical and methodological issues in anthropological archaeology. Attention is given to past concerns, current debates, and future directions of archaeology in the social sciences.;;2501;21;18;3;3;3;3;3;3;3;3
Anthropology;ANTH 2560;Lived Bodies, Dead Bodies: The Archaeology of Human Remains;"Bioarchaeology is the study of human remains from archaeological contexts. We will survey the ""state of the art"" in bioarchaeology, while exploring its relevance and application to the archaeology of complex societies. We will survey a range of bioarchaeological methods and applications, including paleopathology, stable isotope analysis, population affinity/ancient DNA, perimortem trauma, and body modification. In turn, we will explore how bioarchaeology can be used to approach a wide range of archaeological problems relative to complext societies, including subsistence, economy, migration, urbanism, social inequality, conflict and warfare, and identity. S/NC.";;2560;21;19;3;0;1;0;1;0;9am;Morning
Anthropology;ANTH 2970;Preliminary Examination Preparation;For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination.;;2970;21;20;3;0;1;0;1;0;9:30am;Morning
Anthropology;ANTH 2990;Thesis Preparation;For graduate students who have met the residency requirement and are continuing research on a full time basis.;;2990;21;21;3;0;1;0;1;0;9am;Morning
Applied Mathematics;APMA 0200;Introduction to Modeling;"This course provides an introduction to the mathematical modeling of selected biological, chemical, engineering, and physical processes. The goal is to illustrate the typical way in which applied mathematicians approach practical applications, from understanding the underlying problem, creating a model, analyzing the model using mathematical techniques, and interpreting the findings in terms of the original problem. Single-variable calculus is the only requirement; all other techniques from differential equations, linear algebra, and numerical methods, to probability and statistics will be introduced in class. Prerequisites: Math 0100 or equivalent.";"“Introduction to Modelling” (APMA0200) is a lecture-based introductory math course designed to teach students the basics of mathematical modeling using selected examples from biology, chemistry, engineering, and physics. The course description describes the goal as learning ""the typical way applied mathematicians approach practical application, from understanding the underlying problem, creating a model, analyzing the model using mathematical techniques, and interpreting findings in terms of the original problem.” Single-variable calculus (MATH0100) or equivalent AP Calculus BC credit is the only pre-requisite. Students also noted that ""Multivariable Calculus"" (MATH0180) and ""Methods of Applied Mathematics I, II"" (APMA0330) were helpful as well.

Professor Constantine Dafermos was generally regarded as a very effective and clear lecturer who typically used the chalkboard to work out proofs and problems. Some reviewers wrote that lectures could “go over their heads” at times, but acknowledged Professor Dafermos’s openness to questions and repetition of key concepts. Although Professor Dafermos had no set office hours, he was usually available upon request. Multiple students suggested more grading feedback as a way to improve the course.

The course featured almost-weekly homework assignments, a final project that was similar to the homework, and no exams. Students were mixed in their assessment of the difficulty of the assignments, but most agreed that they were relevant to lecture and the course goals. The most common suggestions for improvement were to have some kind of literature available, such as accompanying readings or posted lecture notes, and to have a clearer grading structure.

In summary, most students liked this class for its practical “applications of math to common life,” as well as for Professor Dafermos's clarity and teaching style. Reviewers suggested shoppers look at MATH0180 or MATH0200 as well as mathematical modelling courses in biology and other departments. If you’re looking for a not-overly-difficult class and a new perspective on math, consider Introduction to Modelling!";200;26;1;1;1;0;1;0;1;1pm;Afternoon
Applied Mathematics;APMA 0350;Applied Ordinary Differential Equations;"This course provides a comprehensive introduction to ordinary differential equations and their applications. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving the model using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. We will also learn about the underlying rigorous theoretical foundations of differential equations. Prerequisites: MATH 0100 or equivalent; knowledge of matrix-vector operations, determinants, and linear systems.";"“Applied Ordinary Differential Equations” (APMA0350) is an introductory course that dives into the practical applications and theoretical underpinnings of ordinary differential equations. Prerequisites include an intermediate calculus course (MATH0100, MATH0180, or equivalent). Reviewers emphasized that a linear algebra course (MATH0520 or MATH0540), which can be taken concurrently, was very helpful for this class. Other useful courses included basic physics (e.g. PHYS0070) and engineering (e.g. ENGN0040) to some extent.

Professor Bjorn Sandstede was praised for being an enthusiastic lecturer, presenting in a constantly systematic format, providing clear and ample post-lecture notes and recordings, encouraging questions, and soliciting feedback through optional weekly Canvas reflections. One student said, “My man Bjorn has the teaching skills of a god and speaks so eloquently.” Respondents were particularly appreciative of how Bjorn demonstrated care for his students by being responsive to their emails and enthusiastically conversing with them about content outside of the course. The lectures were described to mostly cover theory and proofs. Reviews were mixed regarding the pace of Professor Sandstede’s lectures.

Coursework consisted of weekly problem sets, one in-class midterm, two take-home capstone problem sets, and a final group project (10 to 15-page paper). Many reported that the coursework was manageable and the content easy to follow (with an average of five hours a week dedicated outside of class), as long as attention and attendance were maintained. As the class requires no textbook, readings and other assigned materials were generally deemed worthwhile. TA and office hours also helped students sift through conceptually-dense lecture material and recognize their relevance to assignments and applicability to the real world. Multiple reviewers commented that the homework and exams focused on problem-solving and mathematical applications rather than lengthy proofs, making the course interesting for non-math concentrators. Feedback on assignments was prompt and fair.

Respondents generally agreed that the course material was engaging and manageable, made so by Bjorn’s effective and efficient teaching and supportive TA staff. Consider shopping APMA0350 if you are seeking an introductory course to mathematical theory and applications.";350;26;2;1;1;0;1;0;1;12pm;Afternoon
